Epoch 1, Loss: 0.3315244256745062
Epoch 2, Loss: 0.2243726000218364
Epoch 3, Loss: 0.18631820697480303
Epoch 4, Loss: 0.14410815300667645
Epoch 5, Loss: 0.1169641774404994
Epoch 6, Loss: 0.09014745159229487
Epoch 7, Loss: 0.07019434024798213
Epoch 8, Loss: 0.10482997953122997
Epoch 9, Loss: 0.05614002644912997
Epoch 10, Loss: 0.043090720055926304
